tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Sexo,Condição em relação à força de trabalho e condição de ocupação,Grupo de idade,valor_original,valor
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1600303,Macapá (AP),2022,Total,Total,25 anos ou mais,248944,248944.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1302603,Manaus (AM),2022,Total,Total,25 anos ou mais,1221047,1221047.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2927408,Salvador (BA),2022,Total,Total,25 anos ou mais,1684408,1684408.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2304400,Fortaleza (CE),2022,Total,Total,25 anos ou mais,1625056,1625056.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5300108,Brasília (DF),2022,Total,Total,25 anos ou mais,1847119,1847119.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3205309,Vitória (ES),2022,Total,Total,25 anos ou mais,227971,227971.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5208707,Goiânia (GO),2022,Total,Total,25 anos ou mais,971976,971976.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2111300,São Luís (MA),2022,Total,Total,25 anos ou mais,669821,669821.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5103403,Cuiabá (MT),2022,Total,Total,25 anos ou mais,421760,421760.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5002704,Campo Grande (MS),2022,Total,Total,25 anos ou mais,588129,588129.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3106200,Belo Horizonte (MG),2022,Total,Total,25 anos ou mais,1651168,1651168.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1501402,Belém (PA),2022,Total,Total,25 anos ou mais,870607,870607.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2507507,João Pessoa (PB),2022,Total,Total,25 anos ou mais,551704,551704.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,4106902,Curitiba (PR),2022,Total,Total,25 anos ou mais,1247378,1247378.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2611606,Recife (PE),2022,Total,Total,25 anos ou mais,1021427,1021427.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2211001,Teresina (PI),2022,Total,Total,25 anos ou mais,561222,561222.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3304557,Rio de Janeiro (RJ),2022,Total,Total,25 anos ou mais,4365604,4365604.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2408102,Natal (RN),2022,Total,Total,25 anos ou mais,508031,508031.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,4314902,Porto Alegre (RS),2022,Total,Total,25 anos ou mais,949371,949371.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1100205,Porto Velho (RO),2022,Total,Total,25 anos ou mais,282257,282257.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1400100,Boa Vista (RR),2022,Total,Total,25 anos ou mais,229050,229050.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,4205407,Florianópolis (SC),2022,Total,Total,25 anos ou mais,383891,383891.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3550308,São Paulo (SP),2022,Total,Total,25 anos ou mais,7940457,7940457.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2800308,Aracaju (SE),2022,Total,Total,25 anos ou mais,401225,401225.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1721000,Palmas (TO),2022,Total,Total,25 anos ou mais,181186,181186.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Brasil,1,Brasil,2022,Total,Total,25 a 64 anos,110841485,110841485.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1200401,Rio Branco (AC),2022,Total,Total,25 a 64 anos,190899,190899.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2704302,Maceió (AL),2022,Total,Total,25 a 64 anos,529340,529340.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1600303,Macapá (AP),2022,Total,Total,25 a 64 anos,224197,224197.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1302603,Manaus (AM),2022,Total,Total,25 a 64 anos,1093301,1093301.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2927408,Salvador (BA),2022,Total,Total,25 a 64 anos,1414612,1414612.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2304400,Fortaleza (CE),2022,Total,Total,25 a 64 anos,1371919,1371919.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5300108,Brasília (DF),2022,Total,Total,25 a 64 anos,1594443,1594443.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3205309,Vitória (ES),2022,Total,Total,25 a 64 anos,182224,182224.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5208707,Goiânia (GO),2022,Total,Total,25 a 64 anos,822141,822141.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2111300,São Luís (MA),2022,Total,Total,25 a 64 anos,579509,579509.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5103403,Cuiabá (MT),2022,Total,Total,25 a 64 anos,365502,365502.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5002704,Campo Grande (MS),2022,Total,Total,25 a 64 anos,496165,496165.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3106200,Belo Horizonte (MG),2022,Total,Total,25 a 64 anos,1323723,1323723.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1501402,Belém (PA),2022,Total,Total,25 a 64 anos,730720,730720.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2507507,João Pessoa (PB),2022,Total,Total,25 a 64 anos,467124,467124.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,4106902,Curitiba (PR),2022,Total,Total,25 a 64 anos,1022180,1022180.0
