tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,"Geral, grupo, subgrupo, item e subitem",valor_original,valor
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202606,Índice geral,0.52,0.52
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202607,Índice geral,0.04,0.04
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202608,Índice geral,-0.02,-0.02
7060,63,IPCA - Variação mensal,%,Região Metropolitana até 2020,1501,Belém - PA,202309,Índice geral,0.44,0.44
7060,63,IPCA - Variação mensal,%,Região Metropolitana até 2020,1501,Belém - PA,202310,Índice geral,-0.06,-0.06
7060,63,IPCA - Variação mensal,%,Região Metropolitana até 2020,1501,Belém - PA,202311,Índice geral,0.14,0.14
7060,63,IPCA - Variação mensal,%,Região Metropolitana até 2020,1501,Belém - PA,202312,Índice geral,0.73,0.73
7060,63,IPCA - Variação mensal,%,Região Metropolitana até 2020,1501,Belém - PA,202401,Índice geral,0.75,0.75
7060,63,IPCA - Variação mensal,%,Região Metropolitana até 2020,1501,Belém - PA,202402,Índice geral,0.69,0.69
7060,63,IPCA - Variação mensal,%,Região Metropolitana até 2020,1501,Belém - PA,202403,Índice geral,0.54,0.54
7060,63,IPCA - Variação mensal,%,Região Metropolitana até 2020,1501,Belém - PA,202404,Índice geral,0.33,0.33
